Question,True Answer,answers,MCQs,3_MC,2_MC
《昆虫记》中蟹蛛爱吃?。,蜜蜂,"['蝎子', '蝴蝶', '不知道']",请选择一个正确选项。《昆虫记》中蟹蛛爱吃?。：A 蜜蜂 ，B 蝎子 ，C 蝴蝶，D 不知道。只能选择一个选项，禁止解释。,请选择一个正确选项。《昆虫记》中蟹蛛爱吃?。：A 蝎子 ，B  蝴蝶 ，C 蜜蜂。只能选择一个选项，禁止解释。,请选择一个正确选项。《昆虫记》中蟹蛛爱吃?。：A 蝎子 ，B 蜜蜂。只能选择一个选项，禁止解释。
法布尔的昆虫记曾获得?,诺贝尔奖提名,"['普利策奖', '安徒生奖', '诺贝尔奖']",请选择一个正确选项。法布尔的昆虫记曾获得?：A 普利策奖 ，B 诺贝尔奖提名 ，C 安徒生奖，D 诺贝尔奖。只能选择一个选项，禁止解释。,请选择一个正确选项。法布尔的昆虫记曾获得?：A 普利策奖 ，B  安徒生奖 ，C 诺贝尔奖提名。只能选择一个选项，禁止解释。,请选择一个正确选项。法布尔的昆虫记曾获得?：A 普利策奖 ，B 诺贝尔奖提名。只能选择一个选项，禁止解释。
下列作家、作品连线有误的一项是?,贾平凹——现代作家——《满月儿》获得施耐庵文学奖,"['普希金——俄国诗人——《假如生活欺骗了你》', '陈子昂——字伯玉——唐代文学家', '陆游——宋代爱国诗人——《游山西村》']",请选择一个正确选项。下列作家、作品连线有误的一项是?：A 贾平凹——现代作家——《满月儿》获得施耐庵文学奖 ，B 普希金——俄国诗人——《假如生活欺骗了你》 ，C 陈子昂——字伯玉——唐代文学家，D 陆游——宋代爱国诗人——《游山西村》。只能选择一个选项，禁止解释。,请选择一个正确选项。下列作家、作品连线有误的一项是?：A 普希金——俄国诗人——《假如生活欺骗了你》 ，B  陈子昂——字伯玉——唐代文学家 ，C 贾平凹——现代作家——《满月儿》获得施耐庵文学奖。只能选择一个选项，禁止解释。,请选择一个正确选项。下列作家、作品连线有误的一项是?：A 普希金——俄国诗人——《假如生活欺骗了你》 ，B 贾平凹——现代作家——《满月儿》获得施耐庵文学奖。只能选择一个选项，禁止解释。
下列文章中不曾提及“长妈妈”的篇目是?,琐记,"['猫鼠', '五猖会', '孝图']",请选择一个正确选项。下列文章中不曾提及“长妈妈”的篇目是?：A 猫鼠 ，B 五猖会 ，C 孝图，D 琐记。只能选择一个选项，禁止解释。,请选择一个正确选项。下列文章中不曾提及“长妈妈”的篇目是?：A 猫鼠 ，B  五猖会 ，C 琐记。只能选择一个选项，禁止解释。,请选择一个正确选项。下列文章中不曾提及“长妈妈”的篇目是?：A 猫鼠 ，B 琐记。只能选择一个选项，禁止解释。
蜜蜂在《昆虫记》中被称为?,不会迷失的精灵,"['勤劳的使者', '不知道', '不知道']",请选择一个正确选项。蜜蜂在《昆虫记》中被称为?：A 勤劳的使者 ，B 不会迷失的精灵 ，C 不知道，D 不知道。只能选择一个选项，禁止解释。,请选择一个正确选项。蜜蜂在《昆虫记》中被称为?：A 勤劳的使者 ，B  不知道 ，C 不会迷失的精灵。只能选择一个选项，禁止解释。,请选择一个正确选项。蜜蜂在《昆虫记》中被称为?：A 勤劳的使者 ，B 不会迷失的精灵。只能选择一个选项，禁止解释。
你知道对联“四面湖山归眼底，万家忧乐到心头。”所写的人物是谁吗？,范仲淹,"['李白', '文天祥', '蒲松龄']",请选择一个正确选项。你知道对联“四面湖山归眼底，万家忧乐到心头。”所写的人物是谁吗？：A 李白 ，B 范仲淹 ，C 文天祥，D 蒲松龄。只能选择一个选项，禁止解释。,请选择一个正确选项。你知道对联“四面湖山归眼底，万家忧乐到心头。”所写的人物是谁吗？：A 李白 ，B  文天祥 ，C 范仲淹。只能选择一个选项，禁止解释。,请选择一个正确选项。你知道对联“四面湖山归眼底，万家忧乐到心头。”所写的人物是谁吗？：A 李白 ，B 范仲淹。只能选择一个选项，禁止解释。
你知道对联“鬼狐有性格，笑骂成文章。”所写的人物是谁吗？,蒲松龄,"['李白', '范仲淹', '文天祥']",请选择一个正确选项。你知道对联“鬼狐有性格，笑骂成文章。”所写的人物是谁吗？：A 李白 ，B 范仲淹 ，C 蒲松龄，D 文天祥。只能选择一个选项，禁止解释。,请选择一个正确选项。你知道对联“鬼狐有性格，笑骂成文章。”所写的人物是谁吗？：A 李白 ，B  范仲淹 ，C 蒲松龄。只能选择一个选项，禁止解释。,请选择一个正确选项。你知道对联“鬼狐有性格，笑骂成文章。”所写的人物是谁吗？：A 李白 ，B 蒲松龄。只能选择一个选项，禁止解释。
你知道对联“酌酒花间，磨针石上；倚剑天外，挂弓扶桑。”所写的人物是谁吗？,李白,"['文天祥', '范仲淹', '蒲松龄']",请选择一个正确选项。你知道对联“酌酒花间，磨针石上；倚剑天外，挂弓扶桑。”所写的人物是谁吗？：A 文天祥 ，B 范仲淹 ，C 蒲松龄，D 李白。只能选择一个选项，禁止解释。,请选择一个正确选项。你知道对联“酌酒花间，磨针石上；倚剑天外，挂弓扶桑。”所写的人物是谁吗？：A 文天祥 ，B  范仲淹 ，C 李白。只能选择一个选项，禁止解释。,请选择一个正确选项。你知道对联“酌酒花间，磨针石上；倚剑天外，挂弓扶桑。”所写的人物是谁吗？：A 文天祥 ，B 李白。只能选择一个选项，禁止解释。
下列句子中没有语病的一项是？,把北山建设成省级森林公园，是当地政府实施可持续发展的一项重要工程。,"['发电站每年的发电量，除了供应给杭州使用外，还向上海、南京等地输送。', '自编自演的课本剧在发展个性、引导学生阅读名著，都有一定的作用。', '街道希望通过多种渠道，大力开展法制教育，防止青少年不违法犯法']",请选择一个正确选项。下列句子中没有语病的一项是？：A 把北山建设成省级森林公园，是当地政府实施可持续发展的一项重要工程。 ，B 发电站每年的发电量，除了供应给杭州使用外，还向上海、南京等地输送。 ，C 自编自演的课本剧在发展个性、引导学生阅读名著，都有一定的作用。，D 街道希望通过多种渠道，大力开展法制教育，防止青少年不违法犯法。只能选择一个选项，禁止解释。,请选择一个正确选项。下列句子中没有语病的一项是？：A 发电站每年的发电量，除了供应给杭州使用外，还向上海、南京等地输送。 ，B  自编自演的课本剧在发展个性、引导学生阅读名著，都有一定的作用。 ，C 把北山建设成省级森林公园，是当地政府实施可持续发展的一项重要工程。。只能选择一个选项，禁止解释。,请选择一个正确选项。下列句子中没有语病的一项是？：A 发电站每年的发电量，除了供应给杭州使用外，还向上海、南京等地输送。 ，B 把北山建设成省级森林公园，是当地政府实施可持续发展的一项重要工程。。只能选择一个选项，禁止解释。
下列句子中说话得体的一项是?,马老师端起酒杯说：“黄老先生，今天是您的寿诞之日，我祝您健康长寿！”,"['我在这个问题上请教了很多人，都得不到解决，于是不耻下问，向叶先生请教。', '在座的不是董事长，就是总经理，现在请大家出钱出物，为国家尽匹夫之责。', '我们家家教很严，令尊常常告诫我们到社会上要清清白白做人。']",请选择一个正确选项。下列句子中说话得体的一项是?：A 我在这个问题上请教了很多人，都得不到解决，于是不耻下问，向叶先生请教。 ，B 在座的不是董事长，就是总经理，现在请大家出钱出物，为国家尽匹夫之责。 ，C 我们家家教很严，令尊常常告诫我们到社会上要清清白白做人。，D 马老师端起酒杯说：“黄老先生，今天是您的寿诞之日，我祝您健康长寿！”。只能选择一个选项，禁止解释。,请选择一个正确选项。下列句子中说话得体的一项是?：A 我在这个问题上请教了很多人，都得不到解决，于是不耻下问，向叶先生请教。 ，B  在座的不是董事长，就是总经理，现在请大家出钱出物，为国家尽匹夫之责。 ，C 马老师端起酒杯说：“黄老先生，今天是您的寿诞之日，我祝您健康长寿！”。只能选择一个选项，禁止解释。,请选择一个正确选项。下列句子中说话得体的一项是?：A 我在这个问题上请教了很多人，都得不到解决，于是不耻下问，向叶先生请教。 ，B 马老师端起酒杯说：“黄老先生，今天是您的寿诞之日，我祝您健康长寿！”。只能选择一个选项，禁止解释。
下列选项中可以成为民法上的物的有?,放在桌上的假牙,"['日月星辰', '镶在人嘴里的金牙', '商标']",请选择一个正确选项。下列选项中可以成为民法上的物的有?：A 日月星辰 ，B 镶在人嘴里的金牙 ，C 商标，D 放在桌上的假牙。只能选择一个选项，禁止解释。,请选择一个正确选项。下列选项中可以成为民法上的物的有?：A 日月星辰 ，B  镶在人嘴里的金牙 ，C 放在桌上的假牙。只能选择一个选项，禁止解释。,请选择一个正确选项。下列选项中可以成为民法上的物的有?：A 日月星辰 ，B 放在桌上的假牙。只能选择一个选项，禁止解释。
下列选项中属于主物与从物的关系?,船与桨,"['文具盒与笔', '西服上衣与裤子', '花瓶与花']",请选择一个正确选项。下列选项中属于主物与从物的关系?：A 文具盒与笔 ，B 西服上衣与裤子 ，C 船与桨，D 花瓶与花。只能选择一个选项，禁止解释。,请选择一个正确选项。下列选项中属于主物与从物的关系?：A 文具盒与笔 ，B  西服上衣与裤子 ，C 船与桨。只能选择一个选项，禁止解释。,请选择一个正确选项。下列选项中属于主物与从物的关系?：A 文具盒与笔 ，B 船与桨。只能选择一个选项，禁止解释。
"根据代理权____的不同,可将代理权区分为委托代理、法定代理和指定代理。",产生根据,"['范围', '内容', '种类']","请选择一个正确选项。根据代理权____的不同,可将代理权区分为委托代理、法定代理和指定代理。：A 范围 ，B 内容 ，C 种类，D 产生根据。只能选择一个选项，禁止解释。","请选择一个正确选项。根据代理权____的不同,可将代理权区分为委托代理、法定代理和指定代理。：A 范围 ，B  内容 ，C 产生根据。只能选择一个选项，禁止解释。","请选择一个正确选项。根据代理权____的不同,可将代理权区分为委托代理、法定代理和指定代理。：A 范围 ，B 产生根据。只能选择一个选项，禁止解释。"
"董红是儿童影星,年满9周岁,片酬颇丰。其父董军的亲弟董强,家居山区生活较为困难.董军征得董红口头同意后,将董红的片酬10000元以董红的名义赠与董强。对董军这一民事行为的效力的表述哪一个是正确的?",无效。理由是董军处分董红的财产不是为了董红的利益,"['有效。理由有董军为其法定代理人,有权处理其财产', '有效。理由是董军已征得董红的同意', '无效。理由是董军未征得董红母亲的同意']","请选择一个正确选项。董红是儿童影星,年满9周岁,片酬颇丰。其父董军的亲弟董强,家居山区生活较为困难.董军征得董红口头同意后,将董红的片酬10000元以董红的名义赠与董强。对董军这一民事行为的效力的表述哪一个是正确的?：A 有效。理由有董军为其法定代理人,有权处理其财产 ，B 有效。理由是董军已征得董红的同意 ，C 无效。理由是董军未征得董红母亲的同意，D 无效。理由是董军处分董红的财产不是为了董红的利益。只能选择一个选项，禁止解释。","请选择一个正确选项。董红是儿童影星,年满9周岁,片酬颇丰。其父董军的亲弟董强,家居山区生活较为困难.董军征得董红口头同意后,将董红的片酬10000元以董红的名义赠与董强。对董军这一民事行为的效力的表述哪一个是正确的?：A 有效。理由有董军为其法定代理人 ，B 有权处理其财产 ，C 无效。理由是董军处分董红的财产不是为了董红的利益。只能选择一个选项，禁止解释。","请选择一个正确选项。董红是儿童影星,年满9周岁,片酬颇丰。其父董军的亲弟董强,家居山区生活较为困难.董军征得董红口头同意后,将董红的片酬10000元以董红的名义赠与董强。对董军这一民事行为的效力的表述哪一个是正确的?：A 有效。理由有董军为其法定代理人 ，B 无效。理由是董军处分董红的财产不是为了董红的利益。只能选择一个选项，禁止解释。"
"农民某甲去外地经商,将其青骡一头留给岳父某乙使用,甲在经商地事业得意。已无返乡务农之意。乙年事已高,青骡派不上用场。且需饲养照料,乙既无力负担,又以为养而无用,颇不经济,于是将骡牵至集市出卖,由某丙以公道价格买得。乙卖骡行为属于?",无权处分行为,"['无权代理行为', '表见代理行为', '超越代理权行为']","请选择一个正确选项。农民某甲去外地经商,将其青骡一头留给岳父某乙使用,甲在经商地事业得意。已无返乡务农之意。乙年事已高,青骡派不上用场。且需饲养照料,乙既无力负担,又以为养而无用,颇不经济,于是将骡牵至集市出卖,由某丙以公道价格买得。乙卖骡行为属于?：A 无权代理行为 ，B 无权处分行为 ，C 表见代理行为，D 超越代理权行为。只能选择一个选项，禁止解释。","请选择一个正确选项。农民某甲去外地经商,将其青骡一头留给岳父某乙使用,甲在经商地事业得意。已无返乡务农之意。乙年事已高,青骡派不上用场。且需饲养照料,乙既无力负担,又以为养而无用,颇不经济,于是将骡牵至集市出卖,由某丙以公道价格买得。乙卖骡行为属于?：A 无权代理行为 ，B  表见代理行为 ，C 无权处分行为。只能选择一个选项，禁止解释。","请选择一个正确选项。农民某甲去外地经商,将其青骡一头留给岳父某乙使用,甲在经商地事业得意。已无返乡务农之意。乙年事已高,青骡派不上用场。且需饲养照料,乙既无力负担,又以为养而无用,颇不经济,于是将骡牵至集市出卖,由某丙以公道价格买得。乙卖骡行为属于?：A 无权代理行为 ，B 无权处分行为。只能选择一个选项，禁止解释。"
"假设A1、A2单元格中数据分别为数值4,5其它单元格均无数据；若B1单元格内容为公式：=4+A1。单击B1后复制到C2中，则C2显示结果为？",4,"['5', '8', '9']","请选择一个正确选项。假设A1、A2单元格中数据分别为数值4,5其它单元格均无数据；若B1单元格内容为公式：=4+A1。单击B1后复制到C2中，则C2显示结果为？：A 4 ，B 5 ，C 8，D 9。只能选择一个选项，禁止解释。","请选择一个正确选项。假设A1、A2单元格中数据分别为数值4,5其它单元格均无数据；若B1单元格内容为公式：=4+A1。单击B1后复制到C2中，则C2显示结果为？：A 5 ，B  8 ，C 4。只能选择一个选项，禁止解释。","请选择一个正确选项。假设A1、A2单元格中数据分别为数值4,5其它单元格均无数据；若B1单元格内容为公式：=4+A1。单击B1后复制到C2中，则C2显示结果为？：A 5 ，B 4。只能选择一个选项，禁止解释。"
在Excel中，选中某列后，再按Delete键。关于该操作完成的功能说法正确的是？,只删除了该列的数据内容，其它均保留,"['该列被删除', '清除了该列所有数据及格式', '清除了该列所有数据，格式保留']",请选择一个正确选项。在Excel中，选中某列后，再按Delete键。关于该操作完成的功能说法正确的是？：A 该列被删除 ，B 只删除了该列的数据内容，其它均保留 ，C 清除了该列所有数据及格式，D 清除了该列所有数据，格式保留。只能选择一个选项，禁止解释。,请选择一个正确选项。在Excel中，选中某列后，再按Delete键。关于该操作完成的功能说法正确的是？：A 该列被删除 ，B  清除了该列所有数据及格式 ，C 只删除了该列的数据内容，其它均保留。只能选择一个选项，禁止解释。,请选择一个正确选项。在Excel中，选中某列后，再按Delete键。关于该操作完成的功能说法正确的是？：A 该列被删除 ，B 只删除了该列的数据内容，其它均保留。只能选择一个选项，禁止解释。
小李有一工作表，已经制作好数据表为A1:D3区域。现在他把该数据进行了“转置”操作后，放置于该工作表的E8单元格开始处。关于转置后的数据表，以下说法正确的是？,转置后的数据表所占用的单元格区域是E8:G11,"['转置后的数据表是3行4列', '转置后的数据表所占用的单元格区域是E8:H11', '转置后的数据表所占用的单元格区域是E8:H10']",请选择一个正确选项。小李有一工作表，已经制作好数据表为A1:D3区域。现在他把该数据进行了“转置”操作后，放置于该工作表的E8单元格开始处。关于转置后的数据表，以下说法正确的是？：A 转置后的数据表是3行4列 ，B 转置后的数据表所占用的单元格区域是E8:H11 ，C 转置后的数据表所占用的单元格区域是E8:G11，D 转置后的数据表所占用的单元格区域是E8:H10。只能选择一个选项，禁止解释。,请选择一个正确选项。小李有一工作表，已经制作好数据表为A1:D3区域。现在他把该数据进行了“转置”操作后，放置于该工作表的E8单元格开始处。关于转置后的数据表，以下说法正确的是？：A 转置后的数据表是3行4列 ，B  转置后的数据表所占用的单元格区域是E8:H11 ，C 转置后的数据表所占用的单元格区域是E8:G11。只能选择一个选项，禁止解释。,请选择一个正确选项。小李有一工作表，已经制作好数据表为A1:D3区域。现在他把该数据进行了“转置”操作后，放置于该工作表的E8单元格开始处。关于转置后的数据表，以下说法正确的是？：A 转置后的数据表是3行4列 ，B 转置后的数据表所占用的单元格区域是E8:G11。只能选择一个选项，禁止解释。
小李在工作表中选择了连续区域B3:C4，且当前活动单元格是C4。若此时，小李按了右箭头键（→），那么当前活动单元格是？,D4,"['B3', 'B4', 'C3']",请选择一个正确选项。小李在工作表中选择了连续区域B3:C4，且当前活动单元格是C4。若此时，小李按了右箭头键（→），那么当前活动单元格是？：A B3 ，B B4 ，C D4，D C3。只能选择一个选项，禁止解释。,请选择一个正确选项。小李在工作表中选择了连续区域B3:C4，且当前活动单元格是C4。若此时，小李按了右箭头键（→），那么当前活动单元格是？：A B3 ，B  B4 ，C D4。只能选择一个选项，禁止解释。,请选择一个正确选项。小李在工作表中选择了连续区域B3:C4，且当前活动单元格是C4。若此时，小李按了右箭头键（→），那么当前活动单元格是？：A B3 ，B D4。只能选择一个选项，禁止解释。
现有“文本数字”序列123，2，13，99，9；则该序列的升序结果是？,123，13，2，9，99,"['2，9，13，99，123', '123，13，2，99，9', '13，123，2，99，9']",请选择一个正确选项。现有“文本数字”序列123，2，13，99，9；则该序列的升序结果是？：A 2，9，13，99，123 ，B 123，13，2，99，9 ，C 123，13，2，9，99，D 13，123，2，99，9。只能选择一个选项，禁止解释。,请选择一个正确选项。现有“文本数字”序列123，2，13，99，9；则该序列的升序结果是？：A 2，9，13，99，123 ，B  123，13，2，99，9 ，C 123，13，2，9，99。只能选择一个选项，禁止解释。,请选择一个正确选项。现有“文本数字”序列123，2，13，99，9；则该序列的升序结果是？：A 2，9，13，99，123 ，B 123，13，2，9，99。只能选择一个选项，禁止解释。
不能用于用户从邮件服务器接收电子邮件的协议是？,SMTP,"['HTTP', 'POP3', 'IMAP']",请选择一个正确选项。不能用于用户从邮件服务器接收电子邮件的协议是？：A HTTP ，B SMTP ，C POP3，D IMAP。只能选择一个选项，禁止解释。,请选择一个正确选项。不能用于用户从邮件服务器接收电子邮件的协议是？：A HTTP ，B  POP3 ，C SMTP。只能选择一个选项，禁止解释。,请选择一个正确选项。不能用于用户从邮件服务器接收电子邮件的协议是？：A HTTP ，B SMTP。只能选择一个选项，禁止解释。
个人计算机申请了帐号并采用PPP拨号接入Internet网后，该机？,拥有固定的IP地址,"['拥用独立的IP地址', '没有自己的IP地址', '可以有多个IP地址']",请选择一个正确选项。个人计算机申请了帐号并采用PPP拨号接入Internet网后，该机？：A 拥有固定的IP地址 ，B 拥用独立的IP地址 ，C 没有自己的IP地址，D 可以有多个IP地址。只能选择一个选项，禁止解释。,请选择一个正确选项。个人计算机申请了帐号并采用PPP拨号接入Internet网后，该机？：A 拥用独立的IP地址 ，B  没有自己的IP地址 ，C 拥有固定的IP地址。只能选择一个选项，禁止解释。,请选择一个正确选项。个人计算机申请了帐号并采用PPP拨号接入Internet网后，该机？：A 拥用独立的IP地址 ，B 拥有固定的IP地址。只能选择一个选项，禁止解释。
下列关于IP的说法错误的是？,IP地址由32位十进制数组成,"['IP地址在Internet上是唯一的', 'IP地址是Internet上主机的数字标识', 'IP地址指出了该计算机连接到哪个网络上']",请选择一个正确选项。下列关于IP的说法错误的是？：A IP地址在Internet上是唯一的 ，B IP地址由32位十进制数组成 ，C IP地址是Internet上主机的数字标识，D IP地址指出了该计算机连接到哪个网络上。只能选择一个选项，禁止解释。,请选择一个正确选项。下列关于IP的说法错误的是？：A IP地址在Internet上是唯一的 ，B  IP地址是Internet上主机的数字标识 ，C IP地址由32位十进制数组成。只能选择一个选项，禁止解释。,请选择一个正确选项。下列关于IP的说法错误的是？：A IP地址在Internet上是唯一的 ，B IP地址由32位十进制数组成。只能选择一个选项，禁止解释。
AIPS（应用入侵防护系统）要部署在？,受保护的应用服务器前端,"['网络的出口处', '受保护的应用服务器中', '受保护的应用服务器后端']",请选择一个正确选项。AIPS（应用入侵防护系统）要部署在？：A 网络的出口处 ，B 受保护的应用服务器中 ，C 受保护的应用服务器后端，D 受保护的应用服务器前端。只能选择一个选项，禁止解释。,请选择一个正确选项。AIPS（应用入侵防护系统）要部署在？：A 网络的出口处 ，B  受保护的应用服务器中 ，C 受保护的应用服务器前端。只能选择一个选项，禁止解释。,请选择一个正确选项。AIPS（应用入侵防护系统）要部署在？：A 网络的出口处 ，B 受保护的应用服务器前端。只能选择一个选项，禁止解释。
下列方式中，利用主机应用系统漏洞进行攻击的是？,SQL注入攻击,"['Land攻击', '暴力攻击', '源路由欺骗攻击']",请选择一个正确选项。下列方式中，利用主机应用系统漏洞进行攻击的是？：A Land攻击 ，B 暴力攻击 ，C 源路由欺骗攻击，D SQL注入攻击。只能选择一个选项，禁止解释。,请选择一个正确选项。下列方式中，利用主机应用系统漏洞进行攻击的是？：A Land攻击 ，B  暴力攻击 ，C SQL注入攻击。只能选择一个选项，禁止解释。,请选择一个正确选项。下列方式中，利用主机应用系统漏洞进行攻击的是？：A Land攻击 ，B SQL注入攻击。只能选择一个选项，禁止解释。
以下属于Python机器学习领域第三方库的是？,Scikit-learn,"['numpy', 'pygame', 'pandas']",请选择一个正确选项。以下属于Python机器学习领域第三方库的是？：A Scikit-learn ，B numpy ，C pygame，D pandas。只能选择一个选项，禁止解释。,请选择一个正确选项。以下属于Python机器学习领域第三方库的是？：A numpy ，B  pygame ，C Scikit-learn。只能选择一个选项，禁止解释。,请选择一个正确选项。以下属于Python机器学习领域第三方库的是？：A numpy ，B Scikit-learn。只能选择一个选项，禁止解释。
在Python语言中，读入CSV文件保存的二维数据，按特定分隔符抽取信息，最可能用到的函数是？,split(),"['replace()', 'join()', 'format()']",请选择一个正确选项。在Python语言中，读入CSV文件保存的二维数据，按特定分隔符抽取信息，最可能用到的函数是？：A split() ，B replace() ，C join()，D format()。只能选择一个选项，禁止解释。,请选择一个正确选项。在Python语言中，读入CSV文件保存的二维数据，按特定分隔符抽取信息，最可能用到的函数是？：A replace() ，B  join() ，C split()。只能选择一个选项，禁止解释。,请选择一个正确选项。在Python语言中，读入CSV文件保存的二维数据，按特定分隔符抽取信息，最可能用到的函数是？：A replace() ，B split()。只能选择一个选项，禁止解释。
下列选项中，用于创建目录的是？,os.mkdir(),"['os.rename()', 'os.remove()', 'os.listdir()']",请选择一个正确选项。下列选项中，用于创建目录的是？：A os.rename() ，B os.remove() ，C os.mkdir()，D os.listdir()。只能选择一个选项，禁止解释。,请选择一个正确选项。下列选项中，用于创建目录的是？：A os.rename() ，B  os.remove() ，C os.mkdir()。只能选择一个选项，禁止解释。,请选择一个正确选项。下列选项中，用于创建目录的是？：A os.rename() ，B os.mkdir()。只能选择一个选项，禁止解释。
在Python中，函数？,以上都不对,"['不可以嵌套定义', '不可以嵌套调用', '不可以递归调用']",请选择一个正确选项。在Python中，函数？：A 不可以嵌套定义 ，B 不可以嵌套调用 ，C 不可以递归调用，D 以上都不对。只能选择一个选项，禁止解释。,请选择一个正确选项。在Python中，函数？：A 不可以嵌套定义 ，B  不可以嵌套调用 ，C 以上都不对。只能选择一个选项，禁止解释。,请选择一个正确选项。在Python中，函数？：A 不可以嵌套定义 ，B 以上都不对。只能选择一个选项，禁止解释。
以下关于Python全局变量和局部变量的描述中，不正确的是？,当函数退出时，局部变量依然存在，下次函数调用可以继续使用,"['局部变量在函数内部创建和使用，函数退出后变量被释放', '全局变量一般指定义在函数之外的变量', '使用global保留字声明后，变量可以作为全局变量使用']",请选择一个正确选项。以下关于Python全局变量和局部变量的描述中，不正确的是？：A 局部变量在函数内部创建和使用，函数退出后变量被释放 ，B 全局变量一般指定义在函数之外的变量 ，C 使用global保留字声明后，变量可以作为全局变量使用，D 当函数退出时，局部变量依然存在，下次函数调用可以继续使用。只能选择一个选项，禁止解释。,请选择一个正确选项。以下关于Python全局变量和局部变量的描述中，不正确的是？：A 局部变量在函数内部创建和使用，函数退出后变量被释放 ，B  全局变量一般指定义在函数之外的变量 ，C 当函数退出时，局部变量依然存在，下次函数调用可以继续使用。只能选择一个选项，禁止解释。,请选择一个正确选项。以下关于Python全局变量和局部变量的描述中，不正确的是？：A 局部变量在函数内部创建和使用，函数退出后变量被释放 ，B 当函数退出时，局部变量依然存在，下次函数调用可以继续使用。只能选择一个选项，禁止解释。
"关于犯罪停止形态,下列哪种说法是错误的?","在犯罪预备阶段只能出现犯罪预备形态,不可能出现犯罪中止形态","['犯罪停止形态只存在于故意犯罪中', '间接故意不可能有犯罪预备、未遂、中止形态', '对过失犯罪而言,只有犯罪成立与否的问题,没有既遂未遂的问题']","请选择一个正确选项。关于犯罪停止形态,下列哪种说法是错误的?：A 犯罪停止形态只存在于故意犯罪中 ，B 间接故意不可能有犯罪预备、未遂、中止形态 ，C 对过失犯罪而言,只有犯罪成立与否的问题,没有既遂未遂的问题，D 在犯罪预备阶段只能出现犯罪预备形态,不可能出现犯罪中止形态。只能选择一个选项，禁止解释。","请选择一个正确选项。关于犯罪停止形态,下列哪种说法是错误的?：A 犯罪停止形态只存在于故意犯罪中 ，B  间接故意不可能有犯罪预备、未遂、中止形态 ，C 在犯罪预备阶段只能出现犯罪预备形态,不可能出现犯罪中止形态。只能选择一个选项，禁止解释。","请选择一个正确选项。关于犯罪停止形态,下列哪种说法是错误的?：A 犯罪停止形态只存在于故意犯罪中 ，B 在犯罪预备阶段只能出现犯罪预备形态,不可能出现犯罪中止形态。只能选择一个选项，禁止解释。"
"对于犯组织、领导、参加恐怖组织罪的行为人,又实施爆炸犯罪的,应当?",以组织、领导、参加恐怖组织罪和爆炸罪数罪并罚,"['以组织、领导、参加恐怖组织罪处罚', '以爆炸罪处罚', '按牵连犯,从一重罪处罚']","请选择一个正确选项。对于犯组织、领导、参加恐怖组织罪的行为人,又实施爆炸犯罪的,应当?：A 以组织、领导、参加恐怖组织罪处罚 ，B 以爆炸罪处罚 ，C 以组织、领导、参加恐怖组织罪和爆炸罪数罪并罚，D 按牵连犯,从一重罪处罚。只能选择一个选项，禁止解释。","请选择一个正确选项。对于犯组织、领导、参加恐怖组织罪的行为人,又实施爆炸犯罪的,应当?：A 以组织、领导、参加恐怖组织罪处罚 ，B  以爆炸罪处罚 ，C 以组织、领导、参加恐怖组织罪和爆炸罪数罪并罚。只能选择一个选项，禁止解释。","请选择一个正确选项。对于犯组织、领导、参加恐怖组织罪的行为人,又实施爆炸犯罪的,应当?：A 以组织、领导、参加恐怖组织罪处罚 ，B 以组织、领导、参加恐怖组织罪和爆炸罪数罪并罚。只能选择一个选项，禁止解释。"
"2004年,我国留学生李某在英国留学期间,与一英国人甲发生冲突,后来李某在一酒吧喝酒,恰逢甲与其朋友也在喝酒。甲一伙趁酒兴将李某打成重伤后逃走,2005年甲来到中国旅游,下面说法正确的是?","根据保护管辖原则,我国司法机关有管辖权","['根据属地管辖原则,我国司法机关有管辖权', '我国司法机关无管辖权,因为应由犯罪地司法机关管辖', '根据普遍管辖原则,我国司法机关有管辖权']","请选择一个正确选项。2004年,我国留学生李某在英国留学期间,与一英国人甲发生冲突,后来李某在一酒吧喝酒,恰逢甲与其朋友也在喝酒。甲一伙趁酒兴将李某打成重伤后逃走,2005年甲来到中国旅游,下面说法正确的是?：A 根据属地管辖原则,我国司法机关有管辖权 ，B 我国司法机关无管辖权,因为应由犯罪地司法机关管辖 ，C 根据普遍管辖原则,我国司法机关有管辖权，D 根据保护管辖原则,我国司法机关有管辖权。只能选择一个选项，禁止解释。","请选择一个正确选项。2004年,我国留学生李某在英国留学期间,与一英国人甲发生冲突,后来李某在一酒吧喝酒,恰逢甲与其朋友也在喝酒。甲一伙趁酒兴将李某打成重伤后逃走,2005年甲来到中国旅游,下面说法正确的是?：A 根据属地管辖原则 ，B 我国司法机关有管辖权 ，C 根据保护管辖原则,我国司法机关有管辖权。只能选择一个选项，禁止解释。","请选择一个正确选项。2004年,我国留学生李某在英国留学期间,与一英国人甲发生冲突,后来李某在一酒吧喝酒,恰逢甲与其朋友也在喝酒。甲一伙趁酒兴将李某打成重伤后逃走,2005年甲来到中国旅游,下面说法正确的是?：A 根据属地管辖原则 ，B 根据保护管辖原则,我国司法机关有管辖权。只能选择一个选项，禁止解释。"
